Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Cameron Percy,73,58.93,2010,294,70.42,30.13,56.91,71.622,206,0,0,-0.491,-0.236,-0.128,0.589,-0.206,"620,262"
Cameron Tringale,55,58.71,2010,294.5,70.18,30.45,53.23,71.598,107,0,0,-0.711,-0.465,0.131,-0.055,0.167,"302,618"
Alex Prugh,88,58.4,2010,295.7,68.6,29.47,55.35,70.878,526,0,3,0.202,0.092,0.39,-0.304,-0.197,"1,272,606"
Ricky Barnes,103,58.37,2010,285.5,68.23,29.32,59.59,70.47,947,0,6,0.021,0.604,-0.244,0.675,0.149,"1,835,195"
Marc Leishman,87,58.37,2010,295,66.67,29.44,56.9,70.769,738,0,2,-0.146,0.418,0.074,0.417,0.072,"1,488,837"
Brett Wetterich,54,57.82,2010,307.3,68.11,29.8,58.71,70.847,248,0,0,-0.126,0.107,0.415,0.106,-0.291,"510,672"
David Duval,71,57.08,2010,286.9,66.1,29.48,52.26,71.688,404,0,1,0.12,-0.278,-0.354,0.202,-0.245,"919,584"
Matt Jones,89,57.07,2010,293.3,65.29,28.65,60.61,70.605,647,0,5,0.509,0.495,-0.122,-0.219,0.321,"1,215,743"
James Driscoll,78,56.96,2010,293.9,66.81,29.31,58.15,70.954,340,0,1,0.315,0.056,-0.014,-0.26,0.019,"500,625"
Padraig Harrington,57,56.7,2010,292.1,61.9,28.3,61.2,70.174,662,0,5,0.267,1.063,-0.104,0.524,0.379,"1,381,453"
Aaron Baddeley,94,56.65,2010,298.9,64.6,28.57,57.1,70.995,481,0,1,0.509,0.208,0.112,-0.797,0.391,"879,317"
David Lutterus,69,56.61,2010,291.9,64.29,29.86,54.81,72.17,103,0,0,-0.33,-1.044,-0.368,-0.439,0.1,"123,170"
Scott Piercy,88,56.03,2010,296.8,67.74,29.11,54.79,71.196,380,0,2,0.215,-0.004,-0.013,-0.065,-0.142,"676,432"
Vance Veazey,58,55.88,2010,284.3,62.71,29.58,50.72,72.323,73,0,0,-0.109,-1.444,-1.117,-0.084,-0.128,"111,370"
Robert Garrigus,71,55.73,2010,315.5,67.61,29.89,51.98,71.264,382,0,2,-0.164,-0.269,0.73,0.025,-0.845,"1,583,275"
