Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,SG_PUTTING_PER_ROUND,AVG_Driving_DISTANCE,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,SG_PUTTING_PER_ROUND,AVG_SCORE,HOLES_PLAYED,AGE,
Kyle Stanley,24,1525,0,5,0.113,296.2,0.798,0.489,0.271,0.038,0.113,70.441,1512,30,
Kyle Thompson,22,10,0,0,-0.75,285.3,-0.512,-0.534,0.036,-0.014,-0.75,72.673,828,31,
Lanto Griffin,26,175,0,0,-0.134,302.4,-0.162,-0.05,-0.034,-0.078,-0.134,71.145,1332,30,
Louis Oosthuizen,16,826,0,3,0.128,299.8,0.474,0.403,-0.33,0.4,0.128,70.157,972,35,
Lucas Glover,18,324,0,1,-0.149,297.2,0.413,0.509,-0.123,0.027,-0.149,71.066,1098,38,
Luke List,28,1111,0,5,-0.422,315.2,1.44,0.824,0.26,0.356,-0.422,70.229,1710,29,
Mackenzie Hughes,28,227,0,1,-0.155,295,0.154,-0.067,0.342,-0.121,-0.155,71.282,1368,28,
Marc Leishman,23,1390,0,6,0.149,298.6,0.637,0.023,0.318,0.297,0.149,70.243,1548,34,
Martin Flores,29,215,0,0,-0.289,300,-0.278,-0.097,-0.083,-0.098,-0.289,71.458,1548,36,
Martin Laird,22,453,0,3,0.282,299,0.189,-0.045,0.024,0.209,0.282,70.839,1170,35,
Martin Piller,28,371,0,2,0.118,292.2,-1.246,-0.248,-0.811,-0.186,0.118,71.929,1386,34,
Matt Atkins,21,44,0,0,-0.198,301.4,-0.931,0.134,-1.039,-0.027,-0.198,72.251,936,32,
Matt Every,30,113,0,1,-0.364,294.2,-0.775,-0.437,-0.023,-0.314,-0.364,72.044,1350,33,
Matt Jones,23,264,0,0,-0.084,304.2,0.192,0.325,-0.304,0.17,-0.084,71.112,1116,36,
Matt Kuchar,24,740,0,4,0.371,287.8,0.254,-0.206,0.238,0.222,0.371,70.461,1440,40,
Michael Thompson,19,280,0,0,0.498,296.4,-0.446,-0.073,-0.423,0.05,0.498,70.924,1044,28,
Nate Lashley,17,168,0,0,0.082,293.9,0.228,0.111,0.036,0.08,0.082,70.999,846,35,
Nicholas Lindheim,26,272,0,1,0.355,293.5,-0.678,-0.258,-0.368,-0.052,0.355,71.344,1242,33,
Nick Taylor,30,420,0,2,-0.312,292.7,0.077,0.049,0.011,0.017,-0.312,71.269,1620,30,
Nick Watney,26,760,0,1,0.2,307.5,0.143,0.17,0.141,-0.167,0.2,70.862,1620,37,
Ollie Schniederjans,27,573,0,3,0.325,301.7,-0.038,-0.406,0.104,0.264,0.325,70.641,1566,25,
Padraig Harrington,16,29,0,0,-0.179,300.1,-0.882,-0.448,-0.663,0.23,-0.179,70.89,1359,47,
Patrick Rodgers,30,541,0,3,0.596,303.4,-0.402,-0.033,-0.412,0.043,0.596,70.731,1674,26,
Peter Malnati,28,226,0,0,0.619,290.9,-0.374,-0.372,-0.257,0.255,0.619,70.841,1494,30,
Peter Uihlein,25,843,0,4,0.088,301.3,0.216,0.031,-0.043,0.229,0.088,70.578,1404,34,
Rafa Cabrera Bello,19,1121,0,5,0.146,295.6,1.136,0.348,0.693,0.094,0.146,69.887,1260,36,
Retief Goosen,20,261,0,1,-0.411,296.2,-0.085,-0.392,0.389,-0.083,-0.411,71.409,936,49,
Richy Werenski,32,498,0,2,-0.117,292.2,0.072,0.113,-0.099,0.058,-0.117,71.185,1656,35,
Rickie Fowler,18,1302,0,4,0.224,301.1,1.005,0.27,0.478,0.257,0.224,69.452,1260,29,
Ricky Barnes,22,164,0,1,0.338,290.6,-0.703,-1.019,0.059,0.257,0.338,71.663,1062,39,
Rob Oppenheim,26,148,0,0,0.045,285.2,-0.586,-0.662,0.026,0.05,0.045,71.532,1224,31,
